                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0338,                 2.8866,                 1.4953,                0.35867,                0.51778,                0.41536,                0.28231,                0.95966,                 2.7159,                 1.4465,               0.070008,              0.0033324,              0.0033324
                      1,                 1.1255,                 2.4724,                 1.5581,                0.30868,                0.47029,                0.33546,                0.21645,                 1.0927,                 4.3121,                 1.6014,               0.039876,              0.0065338,              0.0065338
                      2,                 1.2119,                 2.4388,                 1.6262,                0.29632,                0.44685,                0.27769,                0.15805,                 1.3646,                 4.1536,                 1.8621,              0.0096122,              0.0096031,              0.0096031
                      3,                 1.3283,                 2.4949,                 1.7281,                0.23525,                0.43822,                0.23194,                0.12898,                 1.4216,                 4.0409,                  1.926,               0.009406,               0.009406,               0.009406
                      4,                 1.2837,                 2.3364,                 1.6967,                0.31031,                0.37788,                0.26214,                0.15122,                 1.3412,                 4.1169,                 1.8821,               0.009406,               0.009406,               0.009406
                      5,                 1.2551,                 2.2387,                 1.6615,                  0.262,                0.48086,                0.26369,                0.14519,                 1.3462,                 4.7732,                 1.8104,               0.009208,               0.009208,               0.009208
                      6,                 1.2297,                  2.139,                 1.6546,                0.28585,                 0.5213,                0.29248,                0.16797,                 1.3684,                  4.534,                  1.837,                0.00901,                0.00901,                0.00901
                      7,                 1.1869,                 2.0467,                 1.6093,                0.29897,                0.54179,                0.33538,                0.21037,                 1.2128,                 3.8587,                 1.7009,               0.008812,               0.008812,               0.008812
                      8,                 1.1771,                 1.9683,                  1.608,                0.31007,                0.55209,                0.33444,                0.20624,                 1.2126,                 3.8535,                 1.6851,               0.008614,               0.008614,               0.008614
                      9,                 1.1446,                 1.9354,                 1.5768,                0.37112,                0.56757,                0.39097,                0.24962,                 1.1415,                 3.8769,                    1.6,               0.008416,               0.008416,               0.008416
                     10,                 1.1248,                 1.8867,                 1.5615,                0.39293,                0.55358,                0.40576,                0.27096,                 1.1134,                  3.535,                 1.5891,               0.008218,               0.008218,               0.008218
                     11,                 1.1269,                 1.8428,                 1.5476,                0.37051,                0.57158,                0.38866,                0.24868,                 1.1822,                 3.0813,                 1.6576,                0.00802,                0.00802,                0.00802
                     12,                 1.1005,                 1.8177,                  1.526,                0.34891,                0.59681,                0.37354,                0.25108,                 1.1538,                 5.2287,                 1.6697,               0.007822,               0.007822,               0.007822
                     13,                 1.0877,                 1.7803,                  1.522,                0.39983,                0.58422,                0.41965,                0.27428,                 1.1192,                 3.2894,                  1.593,               0.007624,               0.007624,               0.007624
                     14,                 1.0662,                 1.7376,                 1.5128,                0.45854,                0.60864,                0.48399,                 0.3231,                 1.0743,                 2.5863,                 1.5558,               0.007426,               0.007426,               0.007426
                     15,                 1.0694,                 1.7052,                 1.5085,                0.43858,                0.63508,                0.46411,                0.31057,                 1.0591,                  3.832,                 1.5225,               0.007228,               0.007228,               0.007228
